 x 		 F(x)
-3.0000 	 1.358880
-2.9000 	 1.210751
-2.8000 	 1.065012
-2.7000 	 0.922620
-2.6000 	 0.784499
-2.5000 	 0.651528
-2.4000 	 0.524537
-2.3000 	 0.404295
-2.2000 	 0.291504
-2.1000 	 0.186791
-2.0000 	 0.090703
-1.9000 	 0.003700
-1.8000 	 -0.073848
-1.7000 	 -0.141665
-1.6000 	 -0.199574
-1.5000 	 -0.247495
-1.4000 	 -0.285450
-1.3000 	 -0.313558
-1.2000 	 -0.332039
-1.1000 	 -0.341207
-1.0000 	 -0.341471
-0.9000 	 -0.333327
-0.8000 	 -0.317356
-0.7000 	 -0.294218
-0.6000 	 -0.264642
-0.5000 	 -0.229426
-0.4000 	 -0.189418
-0.3000 	 -0.145520
-0.2000 	 -0.098669
-0.1000 	 -0.049833
0.0000 	 0.000000
0.1000 	 0.049833
0.2000 	 0.098669
0.3000 	 0.145520
0.4000 	 0.189418
0.5000 	 0.229426
0.6000 	 0.264642
0.7000 	 0.294218
0.8000 	 0.317356
0.9000 	 0.333327
1.0000 	 0.341471
1.1000 	 0.341207
1.2000 	 0.332039
1.3000 	 0.313558
1.4000 	 0.285450
1.5000 	 0.247495
1.6000 	 0.199574
1.7000 	 0.141665
1.8000 	 0.073848
1.9000 	 -0.003700
2.0000 	 -0.090703
2.1000 	 -0.186791
2.2000 	 -0.291504
2.3000 	 -0.404295
2.4000 	 -0.524537
2.5000 	 -0.651528
2.6000 	 -0.784499
2.7000 	 -0.922620
2.8000 	 -1.065012
2.9000 	 -1.210751
3.0000 	 -1.358880
