 0 | 0.000000 | 1264.000000
 1 | 213.074727 | 1285.000000
 2 | 323.125439 | 1333.000000
 3 | 517.018246 | 1318.000000
 4 | 587.390199 | 1318.000000
 5 | 886.451165 | 1375.000000
 6 | 1071.951810 | 1417.000000
 7 | 1327.196817 | 1486.000000
 8 | 1562.107871 | 1524.000000
 9 | 1773.216860 | 1553.000000
10 | 1950.406460 | 1630.000000
11 | 2101.840583 | 1757.000000
12 | 2272.599299 | 1794.000000
13 | 2460.763153 | 1828.000000
14 | 2664.770593 | 1887.000000
15 | 2856.716735 | 1975.000000
16 | 2972.413125 | 1975.000000
17 | 3021.079774 | 2031.000000
